name,name_in_kegg,map_id,classes,main_class
CGMP_PKG_SIGNALING_PATHWAY,cGMP-PKG signaling pathway,path:map04022,Environmental Information Processing; Signal transduction,Environmental Information Processing
OXYTOCIN_SIGNALING_PATHWAY,Oxytocin signaling pathway,path:map04921,Organismal Systems; Endocrine system,Organismal Systems
INFLAMMATORY_MEDIATOR_REGULATION_OF_TRP_CHANNELS,Inflammatory mediator regulation of TRP channels,path:map04750,Organismal Systems; Sensory system,Organismal Systems
GASTRIC_ACID_SECRETION,Gastric acid secretion,path:map04971,Organismal Systems; Digestive system,Organismal Systems
ALDOSTERONE_SYNTHESIS_AND_SECRETION,Aldosterone synthesis and secretion,path:map04925,Organismal Systems; Endocrine system,Organismal Systems
PLATELET_ACTIVATION,Platelet activation,path:map04611,Organismal Systems; Immune system,Organismal Systems
THYROID_HORMONE_SIGNALING_PATHWAY,Thyroid hormone signaling pathway,path:map04919,Organismal Systems; Endocrine system,Organismal Systems
MAPK_SIGNALING_PATHWAY,MAPK signaling pathway,path:map04010,Environmental Information Processing; Signal transduction,Environmental Information Processing
RAS_SIGNALING_PATHWAY,Ras signaling pathway,path:map04014,Environmental Information Processing; Signal transduction,Environmental Information Processing
ENDOCYTOSIS,Endocytosis,path:map04144,Cellular Processes; Transport and catabolism,Cellular Processes
CHEMICAL_CARCINOGENESIS,Chemical carcinogenesis,path:map05204,Human Diseases; Cancers: Overview,Human Diseases
DRUG_METABOLISM_CYTOCHROME_P450,Drug metabolism - cytochrome P450,path:map00982,Metabolism; Xenobiotics biodegradation and metabolism,Metabolism
METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450,Metabolism of xenobiotics by cytochrome P450,path:map00980,Metabolism; Xenobiotics biodegradation and metabolism,Metabolism
SEROTONERGIC_SYNAPSE,Serotonergic synapse,path:map04726,Organismal Systems; Nervous system,Organismal Systems
MTOR_SIGNALING_PATHWAY,mTOR signaling pathway,path:map04150,Environmental Information Processing; Signal transduction,Environmental Information Processing
PANCREATIC_SECRETION,Pancreatic secretion,path:map04972,Organismal Systems; Digestive system,Organismal Systems
MRNA_SURVEILLANCE_PATHWAY,mRNA surveillance pathway,path:map03015,Genetic Information Processing; Translation,Genetic Information Processing
PROTEIN_PROCESSING_IN_ENDOPLASMIC_RETICULUM,Protein processing in endoplasmic reticulum,path:map04141,"Genetic Information Processing; Folding, sorting and degradation",Genetic Information Processing
PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM,Phosphatidylinositol signaling system,path:map04070,Environmental Information Processing; Signal transduction,Environmental Information Processing
INOSITOL_PHOSPHATE_METABOLISM,Inositol phosphate metabolism,path:map00562,Metabolism; Carbohydrate metabolism,Metabolism
NEUROTROPHIN_SIGNALING_PATHWAY,Neurotrophin signaling pathway,path:map04722,Organismal Systems; Nervous system,Organismal Systems
AUTOPHAGY_ANIMAL,Autophagy - animal,path:map04140,Cellular Processes; Transport and catabolism,Cellular Processes
INSULIN_SIGNALING_PATHWAY,Insulin signaling pathway,path:map04910,Organismal Systems; Endocrine system,Organismal Systems
SPHINGOLIPID_SIGNALING_PATHWAY,Sphingolipid signaling pathway,path:map04071,Environmental Information Processing; Signal transduction,Environmental Information Processing
VIRAL_CARCINOGENESIS,Viral carcinogenesis,path:map05203,Human Diseases; Cancers: Overview,Human Diseases
AMPK_SIGNALING_PATHWAY,AMPK signaling pathway,path:map04152,Environmental Information Processing; Signal transduction,Environmental Information Processing
TIGHT_JUNCTION,Tight junction,path:map04530,Cellular Processes; Cellular community - eukaryotes,Cellular Processes
ENDOCRINE_AND_OTHER_FACTOR_REGULATED_CALCIUM_REABSORPTION,Endocrine and other factor-regulated calcium reabsorption,path:map04961,Organismal Systems; Excretory system,Organismal Systems
PI3K_AKT_SIGNALING_PATHWAY,PI3K-Akt signaling pathway,path:map04151,Environmental Information Processing; Signal transduction,Environmental Information Processing
TGF_BETA_SIGNALING_PATHWAY,TGF-beta signaling pathway,path:map04350,Environmental Information Processing; Signal transduction,Environmental Information Processing
STAPHYLOCOCCUS_AUREUS_INFECTION,Staphylococcus aureus infection,path:map05150,Human Diseases; Infectious diseases: Bacterial,Human Diseases
ADHERENS_JUNCTION,Adherens junction,path:map04520,Cellular Processes; Cellular community - eukaryotes,Cellular Processes
PHOSPHOLIPASE_D_SIGNALING_PATHWAY,Phospholipase D signaling pathway,path:map04072,Environmental Information Processing; Signal transduction,Environmental Information Processing
INSULIN_SECRETION,Insulin secretion,path:map04911,Organismal Systems; Endocrine system,Organismal Systems
BACTERIAL_INVASION_OF_EPITHELIAL_CELLS,Bacterial invasion of epithelial cells,path:map05100,Human Diseases; Infectious diseases: Bacterial,Human Diseases
PARATHYROID_HORMONE_SYNTHESIS_SECRETION_AND_ACTION,"Parathyroid hormone synthesis, secretion and action",path:map04928,Organismal Systems; Endocrine system,Organismal Systems
MICRORNAS_IN_CANCER,MicroRNAs in cancer,path:map05206,Human Diseases; Cancers: Overview,Human Diseases
TRANSCRIPTIONAL_MISREGULATION_IN_CANCER,Transcriptional misregulation in cancer,path:map05202,Human Diseases; Cancers: Overview,Human Diseases
AMOEBIASIS,Amoebiasis,path:map05146,Human Diseases; Infectious diseases: Parasitic,Human Diseases
SALIVARY_SECRETION,Salivary secretion,path:map04970,Organismal Systems; Digestive system,Organismal Systems
CORTISOL_SYNTHESIS_AND_SECRETION,Cortisol synthesis and secretion,path:map04927,Organismal Systems; Endocrine system,Organismal Systems
RENIN_SECRETION,Renin secretion,path:map04924,Organismal Systems; Endocrine system,Organismal Systems
NOTCH_SIGNALING_PATHWAY,Notch signaling pathway,path:map04330,Environmental Information Processing; Signal transduction,Environmental Information Processing
HEPATITIS_C,Hepatitis C,path:map05160,Human Diseases; Infectious diseases: Viral,Human Diseases
TH17_CELL_DIFFERENTIATION,Th17 cell differentiation,path:map04659,Organismal Systems; Immune system,Organismal Systems
TH1_AND_TH2_CELL_DIFFERENTIATION,Th1 and Th2 cell differentiation,path:map04658,Organismal Systems; Immune system,Organismal Systems
GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE_DERMATAN_SULFATE,Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,path:map00532,Metabolism; Glycan biosynthesis and metabolism,Metabolism
GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES,Glycosphingolipid biosynthesis - lacto and neolacto series,path:map00601,Metabolism; Glycan biosynthesis and metabolism,Metabolism
HTLV_I_INFECTION,Human T-cell leukemia virus 1 infection,path:map05166,Human Diseases; Infectious diseases: Viral,Human Diseases
VIRAL_MYOCARDITIS,Viral myocarditis,path:map05416,Human Diseases; Cardiovascular diseases,Human Diseases
OTHER_TYPES_OF_O_GLYCAN_BIOSYNTHESIS,Other types of O-glycan biosynthesis,path:map00514,Metabolism; Glycan biosynthesis and metabolism,Metabolism
VASCULAR_SMOOTH_MUSCLE_CONTRACTION,Vascular smooth muscle contraction,path:map04270,Organismal Systems; Circulatory system,Organismal Systems
ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,Aldosterone-regulated sodium reabsorption,path:map04960,Organismal Systems; Excretory system,Organismal Systems
HEDGEHOG_SIGNALING_PATHWAY,Hedgehog signaling pathway,path:map04340,Environmental Information Processing; Signal transduction,Environmental Information Processing
BILE_SECRETION,Bile secretion,path:map04976,Organismal Systems; Digestive system,Organismal Systems
THYROID_HORMONE_SYNTHESIS,Thyroid hormone synthesis,path:map04918,Organismal Systems; Endocrine system,Organismal Systems
HIPPO_SIGNALING_PATHWAY_MULTIPLE_SPECIES,Hippo signaling pathway - multiple species,path:map04392,Environmental Information Processing; Signal transduction,Environmental Information Processing
COCAINE_ADDICTION,Cocaine addiction,path:map05030,Human Diseases; Substance dependence,Human Diseases
REGULATION_OF_LIPOLYSIS_IN_ADIPOCYTES,Regulation of lipolysis in adipocytes,path:map04923,Organismal Systems; Endocrine system,Organismal Systems
BLADDER_CANCER,Bladder cancer,path:map05219,Human Diseases; Cancers: Specific types,Human Diseases
OSTEOCLAST_DIFFERENTIATION,Osteoclast differentiation,path:map04380,Organismal Systems; Development,Organismal Systems
TNF_SIGNALING_PATHWAY,TNF signaling pathway,path:map04668,Environmental Information Processing; Signal transduction,Environmental Information Processing
HEPATITIS_B,Hepatitis B,path:map05161,Human Diseases; Infectious diseases: Viral,Human Diseases
NF_KAPPA_B_SIGNALING_PATHWAY,NF-kappa B signaling pathway,path:map04064,Environmental Information Processing; Signal transduction,Environmental Information Processing
NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY,NOD-like receptor signaling pathway,path:map04621,Organismal Systems; Immune system,Organismal Systems
LEISHMANIASIS,Leishmaniasis,path:map05140,Human Diseases; Infectious diseases: Parasitic,Human Diseases
HERPES_SIMPLEX_INFECTION,Herpes simplex virus 1 infection,path:map05168,Human Diseases; Infectious diseases: Viral,Human Diseases
SMALL_CELL_LUNG_CANCER,Small cell lung cancer,path:map05222,Human Diseases; Cancers: Specific types,Human Diseases
LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION,Leukocyte transendothelial migration,path:map04670,Organismal Systems; Immune system,Organismal Systems
MELANOMA,Melanoma,path:map05218,Human Diseases; Cancers: Specific types,Human Diseases
PROLACTIN_SIGNALING_PATHWAY,Prolactin signaling pathway,path:map04917,Organismal Systems; Endocrine system,Organismal Systems
AGE_RAGE_SIGNALING_PATHWAY_IN_DIABETIC_COMPLICATIONS,AGE-RAGE signaling pathway in diabetic complications,path:map04933,Human Diseases; Endocrine and metabolic diseases,Human Diseases
ACUTE_MYELOID_LEUKEMIA,Acute myeloid leukemia,path:map05221,Human Diseases; Cancers: Specific types,Human Diseases
NON_SMALL_CELL_LUNG_CANCER,Non-small cell lung cancer,path:map05223,Human Diseases; Cancers: Specific types,Human Diseases
ENDOMETRIAL_CANCER,Endometrial cancer,path:map05213,Human Diseases; Cancers: Specific types,Human Diseases
PROSTATE_CANCER,Prostate cancer,path:map05215,Human Diseases; Cancers: Specific types,Human Diseases
CHRONIC_MYELOID_LEUKEMIA,Chronic myeloid leukemia,path:map05220,Human Diseases; Cancers: Specific types,Human Diseases
LONGEVITY_REGULATING_PATHWAY,Longevity regulating pathway,path:map04211,Organismal Systems; Aging,Organismal Systems
INSULIN_RESISTANCE,Insulin resistance,path:map04931,Human Diseases; Endocrine and metabolic diseases,Human Diseases
CHOLINE_METABOLISM_IN_CANCER,Choline metabolism in cancer,path:map05231,Human Diseases; Cancers: Overview,Human Diseases
B_CELL_RECEPTOR_SIGNALING_PATHWAY,B cell receptor signaling pathway,path:map04662,Organismal Systems; Immune system,Organismal Systems
FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,Fc gamma R-mediated phagocytosis,path:map04666,Organismal Systems; Immune system,Organismal Systems
TYPE_II_DIABETES_MELLITUS,Type II diabetes mellitus,path:map04930,Human Diseases; Endocrine and metabolic diseases,Human Diseases
CARBOHYDRATE_DIGESTION_AND_ABSORPTION,Carbohydrate digestion and absorption,path:map04973,Organismal Systems; Digestive system,Organismal Systems
CENTRAL_CARBON_METABOLISM_IN_CANCER,Central carbon metabolism in cancer,path:map05230,Human Diseases; Cancers: Overview,Human Diseases
GLUCAGON_SIGNALING_PATHWAY,Glucagon signaling pathway,path:map04922,Organismal Systems; Endocrine system,Organismal Systems
HIF_1_SIGNALING_PATHWAY,HIF-1 signaling pathway,path:map04066,Environmental Information Processing; Signal transduction,Environmental Information Processing
COLORECTAL_CANCER,Colorectal cancer,path:map05210,Human Diseases; Cancers: Specific types,Human Diseases
RENAL_CELL_CARCINOMA,Renal cell carcinoma,path:map05211,Human Diseases; Cancers: Specific types,Human Diseases
FOXO_SIGNALING_PATHWAY,FoxO signaling pathway,path:map04068,Environmental Information Processing; Signal transduction,Environmental Information Processing
GLIOMA,Glioma,path:map05214,Human Diseases; Cancers: Specific types,Human Diseases
PANCREATIC_CANCER,Pancreatic cancer,path:map05212,Human Diseases; Cancers: Specific types,Human Diseases
RNA_TRANSPORT,RNA transport,path:map03013,Genetic Information Processing; Translation,Genetic Information Processing
LYSINE_DEGRADATION,Lysine degradation,path:map00310,Metabolism; Amino acid metabolism,Metabolism
VASOPRESSIN_REGULATED_WATER_REABSORPTION,Vasopressin-regulated water reabsorption,path:map04962,Organismal Systems; Excretory system,Organismal Systems
GLYCEROLIPID_METABOLISM,Glycerolipid metabolism,path:map00561,Metabolism; Lipid metabolism,Metabolism
SHIGELLOSIS,Shigellosis,path:map05131,Human Diseases; Infectious diseases: Bacterial,Human Diseases
SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT,SNARE interactions in vesicular transport,path:map04130,"Genetic Information Processing; Folding, sorting and degradation",Genetic Information Processing
FLUID_SHEAR_STRESS_AND_ATHEROSCLEROSIS,Fluid shear stress and atherosclerosis,path:map05418,Human Diseases; Cardiovascular diseases,Human Diseases
ASCORBATE_AND_ALDARATE_METABOLISM,Ascorbate and aldarate metabolism,path:map00053,Metabolism; Carbohydrate metabolism,Metabolism
PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS,Pentose and glucuronate interconversions,path:map00040,Metabolism; Carbohydrate metabolism,Metabolism
NITROGEN_METABOLISM,Nitrogen metabolism,path:map00910,Metabolism; Energy metabolism,Metabolism
TOXOPLASMOSIS,Toxoplasmosis,path:map05145,Human Diseases; Infectious diseases: Parasitic,Human Diseases
SYNAPTIC_VESICLE_CYCLE,Synaptic vesicle cycle,path:map04721,Organismal Systems; Nervous system,Organismal Systems
PHAGOSOME,Phagosome,path:map04145,Cellular Processes; Transport and catabolism,Cellular Processes
PATHOGENIC_ESCHERICHIA_COLI_INFECTION,Pathogenic Escherichia coli infection,path:map05130,Human Diseases; Infectious diseases: Bacterial,Human Diseases
GNRH_SIGNALING_PATHWAY,GnRH signaling pathway,path:map04912,Organismal Systems; Endocrine system,Organismal Systems
FC_EPSILON_RI_SIGNALING_PATHWAY,Fc epsilon RI signaling pathway,path:map04664,Organismal Systems; Immune system,Organismal Systems
PROGESTERONE_MEDIATED_OOCYTE_MATURATION,Progesterone-mediated oocyte maturation,path:map04914,Organismal Systems; Endocrine system,Organismal Systems
VEGF_SIGNALING_PATHWAY,VEGF signaling pathway,path:map04370,Environmental Information Processing; Signal transduction,Environmental Information Processing
CELL_CYCLE,Cell cycle,path:map04110,Cellular Processes; Cell growth and death,Cellular Processes
AUTOPHAGY_OTHER,Autophagy - other,path:map04136,Cellular Processes; Transport and catabolism,Cellular Processes
CELLULAR_SENESCENCE,Cellular senescence,path:map04218,Cellular Processes; Cell growth and death,Cellular Processes
EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION,Epithelial cell signaling in Helicobacter pylori infection,path:map05120,Human Diseases; Infectious diseases: Bacterial,Human Diseases
COLLECTING_DUCT_ACID_SECRETION,Collecting duct acid secretion,path:map04966,Organismal Systems; Excretory system,Organismal Systems
LONGEVITY_REGULATING_PATHWAY_MULTIPLE_SPECIES,Longevity regulating pathway - multiple species,path:map04213,Organismal Systems; Aging,Organismal Systems
LONG_TERM_DEPRESSION,Long-term depression,path:map04730,Organismal Systems; Nervous system,Organismal Systems
AMPHETAMINE_ADDICTION,Amphetamine addiction,path:map05031,Human Diseases; Substance dependence,Human Diseases
THERMOGENESIS,Thermogenesis,path:map04714,Organismal Systems; Environmental adaptation,Organismal Systems
HUNTINGTON'S_DISEASE,Huntington disease,path:map05016,Human Diseases; Neurodegenerative diseases,Human Diseases
ALZHEIMER'S_DISEASE,Alzheimer disease,path:map05010,Human Diseases; Neurodegenerative diseases,Human Diseases
NON_ALCOHOLIC_FATTY_LIVER_DISEASE_NAFLD,Non-alcoholic fatty liver disease (NAFLD),path:map04932,Human Diseases; Endocrine and metabolic diseases,Human Diseases
T_CELL_RECEPTOR_SIGNALING_PATHWAY,T cell receptor signaling pathway,path:map04660,Organismal Systems; Immune system,Organismal Systems
KAPOSI'S_SARCOMA_ASSOCIATED_HERPESVIRUS_INFECTION,Kaposi sarcoma-associated herpesvirus infection,path:map05167,Human Diseases; Infectious diseases: Viral,Human Diseases
C_TYPE_LECTIN_RECEPTOR_SIGNALING_PATHWAY,C-type lectin receptor signaling pathway,path:map04625,Organismal Systems; Immune system,Organismal Systems
INFLUENZA_A,Influenza A,path:map05164,Human Diseases; Infectious diseases: Viral,Human Diseases
TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,Toll-like receptor signaling pathway,path:map04620,Organismal Systems; Immune system,Organismal Systems
MEASLES,Measles,path:map05162,Human Diseases; Infectious diseases: Viral,Human Diseases
TASTE_TRANSDUCTION,Taste transduction,path:map04742,Organismal Systems; Sensory system,Organismal Systems
INFLAMMATORY_BOWEL_DISEASE_IBD,Inflammatory bowel disease (IBD),path:map05321,Human Diseases; Immune diseases,Human Diseases
MALARIA,Malaria,path:map05144,Human Diseases; Infectious diseases: Parasitic,Human Diseases
RHEUMATOID_ARTHRITIS,Rheumatoid arthritis,path:map05323,Human Diseases; Immune diseases,Human Diseases
IL_17_SIGNALING_PATHWAY,IL-17 signaling pathway,path:map04657,Organismal Systems; Immune system,Organismal Systems
RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY,RIG-I-like receptor signaling pathway,path:map04622,Organismal Systems; Immune system,Organismal Systems
CYTOSOLIC_DNA_SENSING_PATHWAY,Cytosolic DNA-sensing pathway,path:map04623,Organismal Systems; Immune system,Organismal Systems
PYRUVATE_METABOLISM,Pyruvate metabolism,path:map00620,Metabolism; Carbohydrate metabolism,Metabolism
BUTANOATE_METABOLISM,Butanoate metabolism,path:map00650,Metabolism; Carbohydrate metabolism,Metabolism
